part_number_distributor_accu,price_1_distributor_accu,price_100_distributor_accu,price_200_distributor_accu,price_1000_distributor_accu,price_10000_distributor_accu,link_distributor_accu
SSCF-M3-6-12.9,0.62,0.02,0.02,0.02,0.01,https://www.accu.co.uk/metric-cap-head-screws/16002-SSCF-M3-6-12-9
SSCF-M3-8-12.9,0.62,0.02,0.02,0.02,0.02,https://www.accu.co.uk/metric-cap-head-screws/16003-SSCF-M3-8-12-9
SSCF-M3-10-12.9,0.62,0.02,0.02,0.01,0.01,https://www.accu.co.uk/metric-cap-head-screws/16004-SSCF-M3-10-12-9
SSCF-M3-12-12.9,0.63,0.03,0.03,0.02,0.02,https://www.accu.co.uk/metric-cap-head-screws/16005-SSCF-M3-12-12-9
SSCF-M3-16-12.9,0.63,0.03,0.03,0.02,0.02,https://www.accu.co.uk/metric-cap-head-screws/16007-SSCF-M3-16-12-9
SSCF-M3-20-12.9,0.67,0.06,0.06,0.04,0.04,https://www.accu.co.uk/metric-cap-head-screws/16008-SSC-M3-20-12-9
SSCF-M3-25-12.9,0.67,0.06,0.06,0.04,0.04,https://www.accu.co.uk/metric-cap-head-screws/16009-SSC-M3-25-12-9
SSCF-M3-30-12.9,0.69,0.07,0.07,0.05,0.05,https://www.accu.co.uk/metric-cap-head-screws/16010-SSC-M3-30-12-9
SSCF-M3-35-12.9,0.70,0.08,0.08,0.06,0.06,https://www.accu.co.uk/metric-cap-head-screws/386626-SSC-M3-35-12-9
SSCF-M3-40-12.9,0.67,0.06,0.06,0.06,0.04,https://www.accu.co.uk/metric-cap-head-screws/16011-SSC-M3-40-12-9
SSCF-M3-50-12.9,none,none,none,none,none,https://www.accu.co.uk/search-uk
SSCF-M4-6-12.9,0.63,0.03,0.03,0.03,0.03,https://www.accu.co.uk/metric-cap-head-screws/16017-SSCF-M4-6-12-9
SSCF-M4-8-12.9,0.62,0.02,0.02,0.02,0.02,https://www.accu.co.uk/metric-cap-head-screws/16018-SSCF-M4-8-12-9
SSCF-M4-10-12.9,0.63,0.03,0.03,0.03,0.03,https://www.accu.co.uk/metric-cap-head-screws/16019-SSCF-M4-10-12-9
SSCF-M4-12-12.9,0.62,0.02,0.02,0.02,0.02,https://www.accu.co.uk/metric-cap-head-screws/16020-SSCF-M4-12-12-9
SSCF-M4-14-12.9,none,none,none,none,none,https://www.accu.co.uk/search-uk
SSCF-M4-16-12.9,0.63,0.03,0.03,0.03,0.02,https://www.accu.co.uk/metric-cap-head-screws/16023-SSCF-M4-16-12-9
SSCF-M4-20-12.9,0.65,0.04,0.04,0.04,0.04,https://www.accu.co.uk/metric-cap-head-screws/386627-SSC-M4-20-12-9
SSCF-M4-25-12.9,0.65,0.04,0.04,0.03,0.03,https://www.accu.co.uk/metric-cap-head-screws/16027-SSC-M4-25-12-9
SSCF-M4-30-12.9,0.66,0.05,0.05,0.04,0.04,https://www.accu.co.uk/metric-cap-head-screws/16028-SSC-M4-30-12-9
SSCF-M4-35-12.9,0.67,0.06,0.06,0.04,0.04,https://www.accu.co.uk/metric-cap-head-screws/16029-SSC-M4-35-12-9
SSCF-M4-45-12.9,0.67,0.06,0.06,0.06,0.04,https://www.accu.co.uk/metric-cap-head-screws/16031-SSC-M4-45-12-9
SSCF-M4-60-12.9,none,none,none,none,none,https://www.accu.co.uk/search-uk
SSCF-M4-65-12.9,none,none,none,none,none,https://www.accu.co.uk/search-uk
