oomp_id,part_number_distributor_orbital_fasteners,part_number_manufacturer_metalmate,distributor_current,quantity_current,project_bolt_tray_capacity_oobb_4_width_2_5_length_18_mm_depth,project_bolt_tray_capacity_oobb_4_width_2_5_length_18_mm_depth_weight,project_bolt_tray_capacity_oobb_2_5_width_2_length_18_mm_depth,weight,weight_10,price_1_distributor_orbital_fasteners,price_100_distributor_orbital_fasteners,price_200_distributor_orbital_fasteners,price_1000_distributor_orbital_fasteners,price_10000_distributor_orbital_fasteners,webpage_distributor_orbital_fasteners,webpage_manufacturer_metalmate,name_manufacturer_metalmate,box_size_manufacturer_metalmate,box_of_box_size_manufacturer_metalmate,commonity_code,barcode_manufacturer_metalmate,price_1,price_100,price_200,price_1000,price_10000,price_current
hardware_screw_socket_cap_m3_black_5_mm_length_hex_head,1890620,1150M390005,orbital_fasteners,200,,,,,,0.0337,0.0337,0.0187,0.015,0.015,https://www.orbitalfasteners.co.uk/products/m3x5---socket-cap-hd-,https://www.harclob2b.com/m3-x-5-socket-cap-screw-gr12-9-self-colour-din-912-1150m390005,M3 x 5 Socket Cap Screw Gr12.9 Self Colour DIN 912 165,200,4800,7318156890,5050420695909,0.0337,0.0337,0.0187,0.015,0.015,0.0187
hardware_screw_socket_cap_m3_black_6_mm_length_hex_head,1891000,1150M390006,orbital_fasteners,200,,,,,,0.0324,0.0324,0.018,0.0144,0.0144,https://www.orbitalfasteners.co.uk/products/m3-x-6-socket-cap-screw-high-tensile-grade-12-9-self-colour,https://www.harclob2b.com/m3-x-6-socket-cap-screw-gr12-9-self-colour-din-912-1150m390006,M3 x 6 Socket Cap Screw Gr12.9 Self Colour DIN 912 150,200,4800,7318156890,5050420695916,0.0324,0.0324,0.018,0.0144,0.0144,0.018
hardware_screw_socket_cap_m3_black_8_mm_length_hex_head,1891010,1150M390008,orbital_fasteners,200,,,,,,0.0337,0.0337,0.0187,0.015,0.015,https://www.orbitalfasteners.co.uk/products/m3-x-8-socket-cap-screw-high-tensile-grade-12-9-self-colour,https://www.harclob2b.com/m3-x-8-socket-cap-screw-gr12-9-self-colour-din-912-1150m390008,M3 x 8 Socket Cap Screw Gr12.9 Self Colour DIN 912 150,200,4800,7318156890,5050420695923,0.0337,0.0337,0.0187,0.015,0.015,0.0187
hardware_screw_socket_cap_m3_black_10_mm_length_hex_head,1891020,1150M390010,orbital_fasteners,200,,,,,,0.0337,0.0337,0.0187,0.015,0.015,https://www.orbitalfasteners.co.uk/products/m3-x-10-socket-cap-screw-high-tensile-grade-12-9-self-colour,https://www.harclob2b.com/m3-x-10-socket-cap-screw-gr12-9-self-colour-din-91-1150m390010,M3 x 10 Socket Cap Screw Gr12.9 Self Colour DIN 912 150,200,4800,7318156890,5050420695930,0.0337,0.0337,0.0187,0.015,0.015,0.0187
hardware_screw_socket_cap_m3_black_12_mm_length_hex_head,1891030,1150M390012,orbital_fasteners,200,,,,,,0.0354,0.0354,0.0197,0.0157,0.0157,https://www.orbitalfasteners.co.uk/products/m3-x-12-socket-cap-screw-high-tensile-grade-12-9-self-colour,https://www.harclob2b.com/m3-x-12-socket-cap-screw-gr12-9-self-colour-din-91-1150m390012,M3 x 12 Socket Cap Screw Gr12.9 Self Colour DIN 912 150,200,4800,7318156890,5050420695947,0.0354,0.0354,0.0197,0.0157,0.0157,0.0197
hardware_screw_socket_cap_m3_black_16_mm_length_hex_head,1891040,1150M390016,orbital_fasteners,200,,,,,,0.0376,0.0376,0.0209,0.0167,0.0167,https://www.orbitalfasteners.co.uk/products/m3-x-16-socket-cap-screw-high-tensile-grade-12-9-self-colour,https://www.harclob2b.com/m3-x-16-socket-cap-screw-gr12-9-self-colour-din-91-1150m390016,M3 x 16 Socket Cap Screw Gr12.9 Self Colour DIN 912 150,200,4800,7318156890,5050420695954,0.0376,0.0376,0.0209,0.0167,0.0167,0.0209
hardware_screw_socket_cap_m3_black_18_mm_length_hex_head,,1150M390018,orbital_fasteners,200,,,,,,,,,,,,https://www.harclob2b.com/m3-x-18-socket-cap-screw-gr12-9-self-colour-din-91-1150m390018,M3 x 18 Socket Cap Screw Gr12.9 Self Colour DIN 912 165,200,4800,7318156890,5050420695961,missing_value,missing_value,missing_value,missing_value,missing_value,missing_value
hardware_screw_socket_cap_m3_black_20_mm_length_hex_head,1891050,1150M390020,orbital_fasteners,200,,,,,,0.0415,0.0415,0.023,0.0185,0.0185,https://www.orbitalfasteners.co.uk/products/m3-x-20-socket-cap-screw-high-tensile-grade-12-9-self-colour,https://www.harclob2b.com/m3-x-20-socket-cap-screw-gr12-9-self-colour-din-91-1150m390020,M3 x 20 Socket Cap Screw Gr12.9 Self Colour DIN 912 150,200,4800,7318156890,5050420695978,0.0415,0.0415,0.023,0.0185,0.0185,0.023
hardware_screw_socket_cap_m3_black_25_mm_length_hex_head,1891052,1150M390025,orbital_fasteners,200,,,,,,0.048,0.048,0.0266,0.0214,0.0214,https://www.orbitalfasteners.co.uk/products/m3-x-25-socket-cap-screw-high-tensile-grade-12-9-self-colour-,https://www.harclob2b.com/m3-x-25-socket-cap-screw-gr12-9-self-colour-din-91-1150m390025,M3 x 25 Socket Cap Screw Gr12.9 Self Colour DIN 912 150,200,4800,7318156890,5050420695985,0.048,0.048,0.0266,0.0214,0.0214,0.0266
hardware_screw_socket_cap_m3_black_30_mm_length_hex_head,1891054,1150M390030,orbital_fasteners,200,,,,,,0.0557,0.0557,0.031,0.0247,0.0247,https://www.orbitalfasteners.co.uk/products/m3-x-30-socket-cap-screw-high-tensile-grade-12-9-self-colour,,,,,,,0.0557,0.0557,0.031,0.0247,0.0247,0.031
hardware_screw_socket_cap_m3_black_35_mm_length_hex_head,1891056,1150M390035,orbital_fasteners,200,,,,,,0.0605,0.0605,0.0336,0.0302,0.0302,https://www.orbitalfasteners.co.uk/products/m3-x-35-socket-cap-screw-high-tensile-grade-12-9-self-colour,https://www.harclob2b.com/m3-x-35-socket-cap-screw-gr12-9-self-colour-din-91-1150m390035,M3 x 35 Socket Cap Screw Gr12.9 Self Colour DIN 912 150,200,3000,7318156890,5050420696005,0.0605,0.0605,0.0336,0.0302,0.0302,0.0336
hardware_screw_socket_cap_m3_black_40_mm_length_hex_head,1891057,1150M390040,orbital_fasteners,200,,,,,,0.0678,0.0678,0.0377,0.0301,0.0301,https://www.orbitalfasteners.co.uk/products/m3-x-40-socket-cap-screw-high-tensile-grade-12-9-self-colour,https://www.harclob2b.com/m3-x-40-socket-cap-screw-gr12-9-self-colour-din-91-1150m390040,M3 x 40 Socket Cap Screw Gr12.9 Self Colour DIN 912 150,200,4800,7318156890,5050420696012,0.0678,0.0678,0.0377,0.0301,0.0301,0.0377
hardware_screw_socket_cap_m3_black_45_mm_length_hex_head,,1150M390045,orbital_fasteners,200,,,,,,,,,,,,https://www.harclob2b.com/m3-x-45-socket-cap-screw-gr12-9-self-colour-din-91-1150m390045,M3 x 45 Socket Cap Screw Gr12.9 Self Colour DIN 912 150,200,3000,7318156890,5050420696029,missing_value,missing_value,missing_value,missing_value,missing_value,missing_value
hardware_screw_socket_cap_m3_black_50_mm_length_hex_head,1891058,1150M390050,orbital_fasteners,200,,,,,,0.1024,0.1024,0.0569,0.0455,0.0455,https://www.orbitalfasteners.co.uk/products/m3-x-50-socket-cap-screw-high-tensile-grade-12-9-self-colour,https://www.harclob2b.com/m3-x-50-socket-cap-screw-gr12-9-self-colour-din-91-1150m390050,M3 x 50 Socket Cap Screw Gr12.9 Self Colour DIN 912 150,200,3000,7318156890,5050420696036,0.1024,0.1024,0.0569,0.0455,0.0455,0.0569
hardware_screw_socket_cap_m3_black_60_mm_length_hex_head,,1150M390060,orbital_fasteners,200,,,,,,,,,,,,https://www.harclob2b.com/m3-x-60-socket-cap-screw-gr12-9-self-colour-din-91-1150m390060,M3 x 60 Socket Cap Screw Gr12.9 Self Colour DIN 912 195,200,1000,7318156890,5050420696043,missing_value,missing_value,missing_value,missing_value,missing_value,missing_value
hardware_nut_m3,1771000,Z0322M39,orbital_fasteners,1000,250,79.66666667,125,0.318666667,3.186666667,0.0038,0.0038,0.0038,0.0038,0.0017,https://www.orbitalfasteners.co.uk/products/m3-mild-steel-hexagon-full-nuts-bright-zinc-plated,https://www.harclob2b.com/m3-din934-gr-8-din267-full-nut-zinc-plated-boxed-z0322m39,M3 DIN934 Gr.8 DIN267 Full Nut Zinc Plated Boxed,2000,64000,7318169290,5050420655088,0.0038,0.0038,0.0038,0.0038,0.0017,0.0038
hardware_washer_m3,1711000,0412T39,orbital_fasteners,1000,,,,,,0.0036,0.0036,0.0036,0.0023,0.0018,https://www.orbitalfasteners.co.uk/products/m3-mild-steel-form-a-flat-washer-bright-zinc-plated-din-125-1a-3-2x7x05mm-,https://www.harclob2b.com/3mm-bright-plain-washer-form-a-self-colour-din-125-0412t39,3mm Bright Plain Washer Form A Self Colour DIN 125A,1000,36000,7318220098,5050420675253,0.0036,0.0036,0.0036,0.0023,0.0018,0.0023
hardware_washer_m3_penny,1731000,,orbital_fasteners,100,,,,,,0.0168,0.0168,0.0168,0.0106,0.0084,https://www.orbitalfasteners.co.uk/products/m3-x-12-x-0-8mm-penny-mudguard-repair-washer-mild-steel-bright-zinc-plated-din-9021,,,,,,,0.0168,0.0168,0.0168,0.0106,0.0084,0.0168
hardware_set_screw_m6_100_mm_length,1851253,Z0318M490100,,,,,,,,0.2543,0.1412,0.1412,0.113,0.113,https://www.orbitalfasteners.co.uk/products/m6-x-100-hexagon-head-set-screws-high-tensile-grade-8-8-bright-zinc-plated,https://www.harclob2b.com/m6-x-100-high-tensile-set-gr-8-8-zinc-plated-metal-z0318m490100,M6 x 100 High Tensile Set Gr 8.8 Zinc Plated Metalmate DIN 933 (ISO 4017),100,1000,7318158880,5050420654234,missing_value,missing_value,missing_value,missing_value,missing_value,missing_value
hardware_set_screw_m6_10_mm_length,1851150,Z0318M490010,,,,,,,,0.0232,0.0232,0.0232,0.0128,0.0103,https://www.orbitalfasteners.co.uk/products/m6-x-10-hexagon-head-set-screws-high-tensile-grade-8-8-bright-zinc-plated,https://www.harclob2b.com/m6-x-10-high-tensile-set-gr-8-8-zinc-plated-metalm-z0318m490010,M6 x 10 High Tensile Set Gr 8.8 Zinc Plated Metalmate DIN 933 (ISO 4017),500,5000,7318158880,5050420654135,missing_value,missing_value,missing_value,missing_value,missing_value,missing_value
hardware_set_screw_m6_12_mm_length,1851160,Z0318M490012,,,,,,,,0.0254,0.0254,0.0254,0.0142,0.0113,https://www.orbitalfasteners.co.uk/products/m6-x-12-hexagon-head-set-screws-high-tensile-grade-8-8-bright-zinc-plated,https://www.harclob2b.com/m6-x-12-high-tensile-set-gr-8-8-zinc-plated-metalm-z0318m490012,M6 x 12 High Tensile Set Gr 8.8 Zinc Plated Metalmate DIN 933 (ISO 4017),500,5000,7318158880,5050420654142,missing_value,missing_value,missing_value,missing_value,missing_value,missing_value
hardware_set_screw_m6_16_mm_length,1851170,Z0318M490016,,,,,,,,0.029,0.029,0.029,0.0162,0.013,https://www.orbitalfasteners.co.uk/products/m6-x-16-hexagon-head-set-screws-high-tensile-grade-8-8-bright-zinc-plated,https://www.harclob2b.com/m6-x-16-high-tensile-set-gr-8-8-zinc-plated-metalm-z0318m490016,M6 x 16 High Tensile Set Gr 8.8 Zinc Plated Metalmate DIN 933 (ISO 4017),500,4000,7318158880,5050420654159,missing_value,missing_value,missing_value,missing_value,missing_value,missing_value
hardware_set_screw_m6_18_mm_length,1851178,Z0318M490018,,,,,,,,0.0551,0.0551,0.0551,0.0306,0.0245,https://www.orbitalfasteners.co.uk/products/m6-x-18-hexagon-head-set-screws-high-tensile-grade-8-8-bright-zinc-plated-din-933,,,,,,,missing_value,missing_value,missing_value,missing_value,missing_value,missing_value
hardware_set_screw_m6_20_mm_length,1851180,Z0318M490020,,,,,,,,0.0328,0.0328,0.0328,0.0182,0.0145,https://www.orbitalfasteners.co.uk/products/m6-x-20-hexagon-head-set-screws-high-tensile-grade-8-8-bright-zinc-plated,https://www.harclob2b.com/m6-x-20-high-tensile-set-gr-8-8-zinc-plated-metalm-z0318m490020,M6 x 20 High Tensile Set Gr 8.8 Zinc Plated Metalmate DIN 933 (ISO 4017),500,4000,7318158880,5050420654166,missing_value,missing_value,missing_value,missing_value,missing_value,missing_value
hardware_set_screw_m6_22_mm_length,1851182,Z0318M490022,,,,,,,,0.0676,0.0676,0.0676,0.0376,0.03,https://www.orbitalfasteners.co.uk/products/m6-x-22-hexagon-head-set-screws-high-tensile-grade-8-8-bright-zinc-plated-din-933,,,,,,,missing_value,missing_value,missing_value,missing_value,missing_value,missing_value
hardware_set_screw_m6_25_mm_length,1851190,Z0318M490025,,,,,,,,0.0379,0.0379,0.0379,0.0211,0.0168,https://www.orbitalfasteners.co.uk/products/m6-x-25-hexagon-head-set-screws-high-tensile-grade-8-8-bright-zinc-plated,https://www.harclob2b.com/m6-x-25-high-tensile-set-gr-8-8-zinc-plated-metalm-z0318m490025,M6 x 25 High Tensile Set Gr 8.8 Zinc Plated Metalmate DIN 933 (ISO 4017),500,3000,7318158880,5050420654173,missing_value,missing_value,missing_value,missing_value,missing_value,missing_value
hardware_set_screw_m6_30_mm_length,1851200,Z0318M490030,,,,,,,,0.0424,0.0424,0.0424,0.0235,0.0188,https://www.orbitalfasteners.co.uk/products/m6-x-30-hexagon-head-set-screws-high-tensile-grade-8-8-bright-zinc-plated,https://www.harclob2b.com/m6-x-30-high-tensile-set-gr-8-8-zinc-plated-metalm-z0318m490030,M6 x 30 High Tensile Set Gr 8.8 Zinc Plated Metalmate DIN 933 (ISO 4017),500,3000,7318158880,5050420654180,missing_value,missing_value,missing_value,missing_value,missing_value,missing_value
hardware_set_screw_m6_35_mm_length,1851210,Z0318M490035,,,,,,,,0.0481,0.0481,0.0268,0.0241,0.0214,https://www.orbitalfasteners.co.uk/products/m6-x-35-hexagon-head-set-screws-high-tensile-grade-8-8-bright-zinc-plated,https://www.harclob2b.com/m6-x-35-high-tensile-set-gr-8-8-zinc-plated-metalm-z0318m490035,M6 x 35 High Tensile Set Gr 8.8 Zinc Plated Metalmate DIN 933 (ISO 4017),200,2400,7318158880,5050420654197,missing_value,missing_value,missing_value,missing_value,missing_value,missing_value
hardware_set_screw_m6_40_mm_length,1851220,Z0318M490040,,,,,,,,0.0481,0.0481,0.0268,0.0241,0.0214,https://www.orbitalfasteners.co.uk/products/m6-x-40-hexagon-head-set-screws-high-tensile-grade-8-8-bright-zinc-plated,https://www.harclob2b.com/m6-x-40-high-tensile-set-gr-8-8-zinc-plated-metalm-z0318m490040,M6 x 40 High Tensile Set Gr 8.8 Zinc Plated Metalmate DIN 933 (ISO 4017),200,2000,7318158880,5050420654203,missing_value,missing_value,missing_value,missing_value,missing_value,missing_value
hardware_set_screw_m6_45_mm_length,1851225,Z0318M490045,,,,,,,,0.0571,0.0571,0.0318,0.0286,0.0254,https://www.orbitalfasteners.co.uk/products/m6-x-45-hexagon-head-set-screws-high-tensile-grade-8-8-bright-zinc-plated-,https://www.harclob2b.com/m6-x-45-high-tensile-set-gr-8-8-zinc-plated-metalm-z0318m490045,M6 x 45 High Tensile Set Gr 8.8 Zinc Plated Metalmate DIN 933 (ISO 4017),200,2000,7318158880,5050420675857,missing_value,missing_value,missing_value,missing_value,missing_value,missing_value
hardware_set_screw_m6_50_mm_length,1851230,Z0318M490050,,,,,,,,0.062,0.062,0.0344,0.0276,0.0276,https://www.orbitalfasteners.co.uk/products/m6-x-50-hexagon-head-set-screws-high-tensile-grade-8-8-bright-zinc-plated,https://www.harclob2b.com/m6-x-50-high-tensile-set-gr-8-8-zinc-plated-metalm-z0318m490050,M6 x 50 High Tensile Set Gr 8.8 Zinc Plated Metalmate DIN 933 (ISO 4017),200,1600,7318158880,5050420654210,missing_value,missing_value,missing_value,missing_value,missing_value,missing_value
hardware_set_screw_m6_55_mm_length,1851235,Z0318M490055,,,,,,,,0.0677,0.0677,0.0376,0.0301,0.0301,https://www.orbitalfasteners.co.uk/products/m6-x-55-hexagon-head-set-screws-high-tensile-grade-8-8-bright-zinc-plated-,https://www.harclob2b.com/m6-x-55-high-tensile-set-gr-8-8-zinc-plated-metalm-z0318m490055,M6 x 55 High Tensile Set Gr 8.8 Zinc Plated Metalmate DIN 933 (ISO 4017),200,1600,7318158880,5050420675864,missing_value,missing_value,missing_value,missing_value,missing_value,missing_value
hardware_set_screw_m6_60_mm_length,1851240,Z0318M490060,,,,,,,,0.073,0.073,0.0406,0.0365,0.0324,https://www.orbitalfasteners.co.uk/products/m6-x-60-hexagon-head-set-screws-high-tensile-grade-8-8-bright-zinc-plated,https://www.harclob2b.com/m6-x-60-high-tensile-set-gr-8-8-zinc-plated-metalm-z0318m490060,M6 x 60 High Tensile Set Gr 8.8 Zinc Plated Metalmate DIN 933 (ISO 4017),200,1200,7318158880,5050420675871,missing_value,missing_value,missing_value,missing_value,missing_value,missing_value
hardware_set_screw_m6_65_mm_length,1851245,Z0318M490065,,,,,,,,0.0766,0.0766,0.0426,0.0383,0.0341,https://www.orbitalfasteners.co.uk/products/m6-x-65-hexagon-head-set-screws-high-tensile-grade-8-8-bright-zinc-plated-,https://www.harclob2b.com/m6-x-65-high-tensile-set-gr-8-8-zinc-plated-metalm-z0318m490065,M6 x 65 High Tensile Set Gr 8.8 Zinc Plated Metalmate DIN 933 (ISO 4017),200,1200,7318158880,5050420680103,missing_value,missing_value,missing_value,missing_value,missing_value,missing_value
hardware_set_screw_m6_70_mm_length,1851250,Z0318M490070,,,,,,,,0.0802,0.0802,0.0445,0.0401,0.0356,https://www.orbitalfasteners.co.uk/products/m6-x-70-hexagon-head-set-screws-high-tensile-grade-8-8-bright-zinc-plated,https://www.harclob2b.com/m6-x-70-high-tensile-set-gr-8-8-zinc-plated-metalm-z0318m490070,M6 x 70 High Tensile Set Gr 8.8 Zinc Plated Metalmate DIN 933 (ISO 4017),200,1200,7318158880,5050420654227,missing_value,missing_value,missing_value,missing_value,missing_value,missing_value
hardware_set_screw_m6_75_mm_length,1851247,Z0318M490075,,,,,,,,0.0853,0.0853,0.0474,0.0427,0.0379,https://www.orbitalfasteners.co.uk/products/m6-x-75-hexagon-head-set-screws-high-tensile-grade-8-8-bright-zinc-plated-,https://www.harclob2b.com/m6-x-75-high-tensile-set-gr-8-8-zinc-plated-metalm-z0318m490075,M6 x 75 High Tensile Set Gr 8.8 Zinc Plated Metalmate DIN 933 (ISO 4017),200,1200,7318158880,5050420675888,missing_value,missing_value,missing_value,missing_value,missing_value,missing_value
hardware_set_screw_m6_80_mm_length,1851251,Z0318M490080,,,,,,,,0.0932,0.0518,0.0518,0.0414,0.0414,https://www.orbitalfasteners.co.uk/products/m6-x-80-hexagon-head-set-screws-high-tensile-grade-8-8-bright-zinc-plated,https://www.harclob2b.com/m6-x-80-high-tensile-set-gr-8-8-zinc-plated-metalm-z0318m490080,M6 x 80 High Tensile Set Gr 8.8 Zinc Plated Metalmate DIN 933 (ISO 4017),100,1000,7318158880,5050420675895,missing_value,missing_value,missing_value,missing_value,missing_value,missing_value
hardware_set_screw_m6_8_mm_length,1851149,Z0318M490008,,,,,,,,0.0232,0.0232,0.0232,0.0128,0.0103,https://www.orbitalfasteners.co.uk/products/m6-x-8-hexagon-head-set-screws-high-tensile-grade-8-8-bright-zinc-plated-din-933,https://www.harclob2b.com/m6-x-8-high-tensile-set-gr-8-8-zinc-plated-metalma-z0318m490008,M6 x 8 High Tensile Set Gr 8.8 Zinc Plated Metalmate DIN 933 (ISO 4017),500,6000,7318158880,5050420654128,missing_value,missing_value,missing_value,missing_value,missing_value,missing_value
hardware_set_screw_m6_90_mm_length,1851252,Z0318M490090,,,,,,,,0.1813,0.1008,0.1008,0.0806,0.0806,https://www.orbitalfasteners.co.uk/products/m6-x-90-hexagon-head-set-screws-high-tensile-grade-8-8-bright-zinc-plated,https://www.harclob2b.com/m6-x-90-high-tensile-set-gr-8-8-zinc-plated-metalm-z0318m490090,M6 x 90 High Tensile Set Gr 8.8 Zinc Plated Metalmate DIN 933 (ISO 4017),100,1000,7318158880,5050420664806,missing_value,missing_value,missing_value,missing_value,missing_value,missing_value
hardware_set_screw_m5_10_mm_length,1851070,Z0318M470010,,,,,,,,0.0232,0.0232,0.0232,0.0128,0.0103,https://www.orbitalfasteners.co.uk/products/m5-x-10-hexagon-head-set-screws-high-tensile-grade-8-8-bright-zinc-plated,https://www.harclob2b.com/m5-x-10-high-tensile-set-gr-8-8-zinc-plated-metalm-z0318m470010,M5 x 10 High Tensile Set Gr 8.8 Zinc Plated Metalmate DIN 933 (ISO 4017),500,9000,7318158880,5050420654067,missing_value,missing_value,missing_value,missing_value,missing_value,missing_value
hardware_set_screw_m5_12_mm_length,1851080,Z0318M470012,,,,,,,,0.0254,0.0254,0.0254,0.0142,0.0113,https://www.orbitalfasteners.co.uk/products/m5-x-12-hexagon-head-set-screws-high-tensile-grade-8-8-bright-zinc-plated,https://www.harclob2b.com/m5-x-12-high-tensile-set-gr-8-8-zinc-plated-metalm-z0318m470012,M5 x 12 High Tensile Set Gr 8.8 Zinc Plated Metalmate DIN 933 (ISO 4017),500,6000,7318158880,5050420654074,missing_value,missing_value,missing_value,missing_value,missing_value,missing_value
hardware_set_screw_m5_16_mm_length,1851090,Z0318M470016,,,,,,,,0.029,0.029,0.029,0.0162,0.013,https://www.orbitalfasteners.co.uk/products/m5-x-16-hexagon-head-set-screws-high-tensile-grade-8-8-bright-zinc-plated,https://www.harclob2b.com/m5-x-16-high-tensile-set-gr-8-8-zinc-plated-metalm-z0318m470016,M5 x 16 High Tensile Set Gr 8.8 Zinc Plated Metalmate DIN 933 (ISO 4017),500,6000,7318158880,5050420654081,missing_value,missing_value,missing_value,missing_value,missing_value,missing_value
hardware_set_screw_m5_18_mm_length,,Z0318M470018,,,,,,,,,,,,,,,,,,,,missing_value,missing_value,missing_value,missing_value,missing_value,missing_value
