oomp_id,part_number_distributor_orbital_fasteners,part_number_manufacturer_metalmate,distributor_current,quantity_current,project_bolt_tray_capacity_oobb_4_width_2_5_length_18_mm_depth,project_bolt_tray_capacity_oobb_4_width_2_5_length_18_mm_depth_weight,project_bolt_tray_capacity_oobb_2_5_width_2_length_18_mm_depth,weight,weight_10,price_1_distributor_orbital_fasteners,price_100_distributor_orbital_fasteners,price_200_distributor_orbital_fasteners,price_1000_distributor_orbital_fasteners,price_10000_distributor_orbital_fasteners,webpage_distributor_orbital_fasteners,webpage_manufacturer_metalmate,name_manufacturer_metalmate,box_size_manufacturer_metalmate,box_of_box_size_manufacturer_metalmate,commonity_code,barcode_manufacturer_metalmate,price_1,price_100,price_200,price_1000,price_10000,price_current
hardware_screw_countersunk_m3_black_6_mm_length_hex_head,1901000,1151M390006,orbital_fasteners,200,150,53.7,75,0.358,3.58,0.0281,0.0281,0.0156,0.0125,0.0125,https://www.orbitalfasteners.co.uk/products/m3-x-6-socket-screw-countersunk-high-tensile-grade-10-9-self-colour-din-7991,https://www.harclob2b.com/m3-x-6-socket-csk-screw-gr10-9-self-colour-din-799-1151m390006,M3 x 6 Socket Csk Screw Gr10.9 Self Colour DIN 7991 165,200,4800,7318156890,5050420669030,0.0281,0.0281,0.0156,0.0125,0.0125,0.0156
hardware_screw_countersunk_m3_black_8_mm_length_hex_head,1901010,1151M390008,orbital_fasteners,200,120,53.4,60,0.445,4.45,0.0286,0.0286,0.0158,0.0127,0.0127,https://www.orbitalfasteners.co.uk/products/m3-x-8-socket-screw-countersunk-high-tensile-grade-10-9-self-colour-din-7991,https://www.harclob2b.com/m3-x-8-socket-csk-screw-gr10-9-self-colour-din-799-1151m390008,M3 x 8 Socket Csk Screw Gr10.9 Self Colour DIN 7991 165,200,4800,7318156890,5050420669047,0.0286,0.0286,0.0158,0.0127,0.0127,0.0158
hardware_screw_countersunk_m3_black_10_mm_length_hex_head,1901020,1151M390010,orbital_fasteners,200,110,57.64,55,0.524,5.24,0.0294,0.0294,0.0163,0.0131,0.0131,https://www.orbitalfasteners.co.uk/products/m3-x-10-socket-screw-countersunk-high-tensile-grade-10-9-self-colour-din-7991,https://www.harclob2b.com/m3-x-10-socket-csk-screw-gr10-9-self-colour-din-79-1151m390010,M3 x 10 Socket Csk Screw Gr10.9 Self Colour DIN 7991 165,200,4800,7318156890,5050420669054,0.0294,0.0294,0.0163,0.0131,0.0131,0.0163
hardware_screw_countersunk_m3_black_12_mm_length_hex_head,1901030,1151M390012,orbital_fasteners,200,90,54.72,45,0.608,6.08,0.0302,0.0302,0.0168,0.0134,0.0134,https://www.orbitalfasteners.co.uk/products/m3-x-12-socket-screw-countersunk-high-tensile-grade-10-9-self-colour-din-7991,https://www.harclob2b.com/m3-x-12-socket-csk-screw-gr10-9-self-colour-din-79-1151m390012,M3 x 12 Socket Csk Screw Gr10.9 Self Colour DIN 7991 165,200,4800,7318156890,5050420669061,0.0302,0.0302,0.0168,0.0134,0.0134,0.0168
hardware_screw_countersunk_m3_black_16_mm_length_hex_head,1901040,1151M390016,orbital_fasteners,200,70,53.76,35,0.768,7.68,0.0359,0.0359,0.0199,0.016,0.016,https://www.orbitalfasteners.co.uk/products/m3-x-16-socket-screw-countersunk-high-tensile-grade-10-9-self-colour-din-7991,,,,,,,0.0359,0.0359,0.0199,0.016,0.016,0.0199
hardware_screw_countersunk_m3_black_20_mm_length_hex_head,1901050,1151M390020,orbital_fasteners,200,50,46.75,25,0.935,9.35,0.0415,0.0415,0.023,0.0185,0.0185,https://www.orbitalfasteners.co.uk/products/m3-x-20-socket-screw-countersunk-high-tensile-grade-10-9-self-colour-din-7991,https://www.harclob2b.com/m3-x-20-socket-csk-screw-gr10-9-self-colour-din-79-1151m390020,M3 x 20 Socket Csk Screw Gr10.9 Self Colour DIN 7991 165,200,4800,7318156890,5050420696821,0.0415,0.0415,0.023,0.0185,0.0185,0.023
hardware_screw_countersunk_m3_black_25_mm_length_hex_head,1901051,1151M390025,orbital_fasteners,200,40,46.76,20,1.169,11.69,0.0424,0.0424,0.0235,0.0188,0.0188,https://www.orbitalfasteners.co.uk/products/m3-x-25-socket-screw-countersunk-high-tensile-grade-10-9-self-colour-din-7991,https://www.harclob2b.com/m3-x-25-socket-csk-screw-gr10-9-self-colour-din-79-1151m390025,M3 x 25 Socket Csk Screw Gr10.9 Self Colour DIN 7991 165,200,4800,7318156890,5050420669078,0.0424,0.0424,0.0235,0.0188,0.0188,0.0235
hardware_screw_countersunk_m3_black_30_mm_length_hex_head,1901052,1151M390030,orbital_fasteners,200,,,,,,0.0484,0.0484,0.0269,0.0215,0.0215,https://www.orbitalfasteners.co.uk/products/m3-x-30-socket-screw-countersunk-high-tensile-grade-10-9-self-colour-din-7991,,,,,,,0.0484,0.0484,0.0269,0.0215,0.0215,0.0269
hardware_screw_countersunk_m3_black_35_mm_length_hex_head,1901054,1151M390035,orbital_fasteners,200,,,,,,0.1162,0.1162,0.0646,0.0516,0.0516,https://www.orbitalfasteners.co.uk/products/m3-x-35-socket-screw-countersunk-high-tensile-grade-10-9-self-colour-din-7991,,,,,,,0.1162,0.1162,0.0646,0.0516,0.0516,0.0646
hardware_screw_socket_cap_m3_black_4_mm_length_hex_head,,1150M390004,orbital_fasteners,200,,,,,,,,,,,,https://www.harclob2b.com/m3-x-4-socket-cap-screw-gr12-9-self-colour-din-912-1150m390004,M3 x 4 Socket Cap Screw Gr12.9 Self Colour DIN 912 195,200,4800,7318156890,5050420695893,missing_value,missing_value,missing_value,missing_value,missing_value,missing_value
